customer_id,age,tenure_months,visits_30d,monthly_spend,plan,region,support_tickets_90d,noise_a,treatment,reactivated_90d
C0000000,59,15,4,9.74,basic,north,0,-1.007559579911496,0,0
C0000001,67,25,3,35.95,plus,north,0,-1.137723015714179,0,0
C0000002,19,3,1,116.52,plus,north,0,0.48720842450574176,0,0
C0000003,68,32,3,98.96,premium,west,1,0.7516699740670638,0,1
C0000004,47,2,2,27.87,basic,west,0,1.0939766555522163,0,1
C0000005,49,70,4,51.77,basic,west,0,-1.0742496048580135,0,0
C0000006,57,34,4,103.39,plus,east,0,0.6317984552289673,0,0
C0000007,35,52,5,96.89,basic,west,1,0.720197773418115,1,0
C0000008,78,19,2,41.48,premium,north,1,-1.4378202864335874,1,0
C0000009,21,36,1,77.5,basic,south,1,-0.5447390471763205,0,0
C0000010,35,35,8,17.16,basic,east,3,0.08347185242413827,1,1
C0000011,41,70,4,54.19,premium,west,2,-0.33237927896205516,1,0
C0000012,53,70,6,103.39,basic,east,1,1.2349088365805407,1,0
C0000013,43,47,2,7.42,basic,south,1,0.2629074457938892,0,0
C0000014,26,57,4,120.72,plus,east,0,0.7131466904307253,0,0
C0000015,20,41,3,82.9,basic,east,0,1.4933907228595233,0,0
C0000016,18,65,4,66.86,basic,north,0,-0.9306601169261064,0,0
C0000017,21,47,3,172.26,basic,south,1,0.47035965642180844,0,0
C0000018,27,62,7,21.09,premium,east,0,-0.2638858680946428,1,1
C0000019,79,31,1,19.75,basic,west,0,1.046360252977521,0,0
C0000020,29,53,3,24.23,basic,west,0,-1.3346832882145105,0,0
C0000021,58,3,3,24.65,plus,east,1,-0.9332763942403479,0,1
C0000022,64,26,4,12.19,basic,west,2,0.640948330855955,0,0
C0000023,32,31,3,19.6,basic,east,2,0.3448855990939984,0,0
C0000024,35,67,5,16.32,premium,west,0,1.1018198427958072,1,0
C0000025,44,18,2,28.15,premium,south,2,1.4693055475476526,0,1
C0000026,34,29,2,61.09,plus,north,0,0.3738521549045316,0,0
C0000027,78,67,2,63.54,basic,west,1,-1.0949500128633507,1,0
C0000028,29,49,3,76.7,basic,south,2,0.15706782725645657,1,0
C0000029,73,52,2,15.12,plus,north,2,-0.12404856507955801,0,1
C0000030,67,20,1,41.35,basic,south,0,1.4304656002663558,0,0
C0000031,70,9,2,77.75,premium,south,4,-0.1792353359794513,0,0
C0000032,25,52,2,31.62,plus,east,1,1.447425672980201,1,0
C0000033,42,13,4,112.28,premium,east,0,0.36560764325077605,0,0
C0000034,56,34,6,156.46,basic,north,3,0.6599221878781559,1,1
C0000035,48,3,3,77.75,premium,east,1,-0.7509600576378863,0,1
C0000036,59,55,4,225.23,basic,west,2,1.0631155304235127,0,0
C0000037,59,57,3,55.77,plus,north,1,0.1518434158584312,0,0
C0000038,59,69,1,18.29,basic,east,1,-1.031100603403777,0,0
C0000039,21,53,0,70.13,premium,east,0,-0.8767987660929835,0,0
C0000040,77,28,5,108.15,premium,north,1,0.20589385157438259,1,1
C0000041,52,24,2,49.77,plus,west,0,0.2412225767658353,0,0
C0000042,74,68,1,61.97,premium,north,0,3.2590409105652753,0,0
C0000043,34,13,5,24.49,plus,south,0,-0.8327194846904691,0,0
C0000044,40,7,4,21.57,plus,east,1,0.34170782334990746,0,1
C0000045,72,19,2,27.85,plus,south,0,1.2927982898418697,0,0
C0000046,29,63,4,76.46,basic,north,0,0.3089365359903183,0,1
C0000047,21,43,3,132.59,plus,west,0,-0.05944035950901943,0,0
C0000048,41,50,3,73.14,plus,west,0,-0.7294020971265224,0,0
C0000049,60,10,4,49.5,premium,north,0,0.6470400958446028,0,1
C0000050,25,2,1,10.02,plus,north,0,0.4789863251770787,0,0
