customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
customerID-000001,Male,1,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,27.77,699.78,No
customerID-000004,Female,1,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,20.27,471.53,No
customerID-000006,Male,0,Yes,No,12,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),35.0,477.3,No
customerID-000008,Male,1,No,No,5,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,68.99,682.07,No
customerID-000009,Male,0,No,No,,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,59.89,610.22,No
customerID-000013,Male,0,Yes,No,,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,77.55,963.47,Yes
customerID-000014,Male,1,Yes,No,2,No,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),40.98,610.62,No
customerID-000017,Male,1,No,No,16,No,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,97.23,961.01,No
customerID-000018,Female,1,No,No,17,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,,244.04,No
customerID-000020,Female,0,No,No,18,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,85.1,928.25,No
customerID-000022,Male,0,No,No,19,No,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.45,389.11,No
customerID-000023,Male,1,No,No,14,No,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,37.98,548.21,No
