id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
200,Female,42,1,28.0,0,1-2 Year,Yes,40613.0,124.0,242,0
226,Female,53,1,28.0,1,1-2 Year,No,44313.0,61.0,33,0
326,Female,24,1,33.0,1,< 1 Year,No,32219.0,152.0,45,0
439,Female,24,1,46.0,1,< 1 Year,No,25784.0,152.0,128,0
526,Female,25,1,47.0,0,< 1 Year,Yes,40374.0,152.0,246,0
593,Male,26,1,30.0,1,< 1 Year,No,22102.0,152.0,97,0
649,Male,55,1,28.0,1,1-2 Year,No,67745.0,124.0,93,0
677,Female,35,1,35.0,0,1-2 Year,Yes,37646.0,26.0,198,0
685,Male,36,1,35.0,0,1-2 Year,Yes,25017.0,124.0,203,0
799,Female,23,1,8.0,1,< 1 Year,No,50423.0,152.0,73,0
898,Male,41,1,45.0,0,1-2 Year,Yes,26978.0,25.0,213,0
912,Male,72,1,28.0,0,> 2 Years,Yes,54468.0,122.0,129,1
992,Male,66,1,3.0,1,1-2 Year,No,2630.0,26.0,240,0
1038,Female,28,1,28.0,1,< 1 Year,No,45896.0,152.0,215,0
1185,Female,24,1,15.0,0,< 1 Year,Yes,47809.0,152.0,24,0
1221,Female,22,1,15.0,1,< 1 Year,Yes,42142.0,152.0,182,0
1308,Male,23,1,8.0,0,< 1 Year,Yes,37969.0,152.0,143,0
1473,Female,25,1,37.0,1,< 1 Year,No,31480.0,152.0,171,0
1593,Female,21,1,47.0,1,< 1 Year,No,22822.0,152.0,273,0
1597,Female,23,1,28.0,0,1-2 Year,Yes,46009.0,26.0,132,0
1610,Female,42,1,8.0,0,1-2 Year,Yes,29277.0,26.0,141,1
1619,Male,70,1,46.0,1,1-2 Year,No,41979.0,11.0,257,0
1659,Female,53,1,8.0,0,1-2 Year,Yes,42065.0,26.0,160,0
1705,Male,26,1,28.0,1,< 1 Year,No,55904.0,152.0,67,0
1729,Male,64,1,28.0,0,1-2 Year,Yes,26678.0,26.0,93,0
1854,Female,50,1,28.0,0,1-2 Year,Yes,38175.0,124.0,166,0
1897,Male,63,1,28.0,0,> 2 Years,Yes,34052.0,139.0,59,0
2003,Female,52,1,12.0,0,1-2 Year,Yes,2630.0,154.0,217,1
2036,Male,46,1,47.0,0,1-2 Year,Yes,33137.0,26.0,149,1
2082,Female,47,1,28.0,0,> 2 Years,Yes,32414.0,122.0,156,0
2266,Male,22,1,41.0,0,< 1 Year,Yes,55839.0,152.0,82,0
2378,Male,74,1,8.0,0,1-2 Year,Yes,41438.0,26.0,50,1
2474,Female,59,1,43.0,1,1-2 Year,No,2630.0,23.0,119,0
2665,Male,53,1,28.0,0,1-2 Year,Yes,53638.0,26.0,154,0
2812,Female,75,1,50.0,0,1-2 Year,Yes,47238.0,116.0,285,0
2825,Female,26,1,8.0,0,< 1 Year,Yes,30708.0,152.0,285,0
2861,Female,48,1,28.0,0,1-2 Year,Yes,40885.0,124.0,68,0
3073,Female,23,1,8.0,0,< 1 Year,Yes,64605.0,152.0,225,0
3115,Male,37,1,8.0,0,1-2 Year,Yes,42741.0,124.0,233,1
3156,Female,36,1,11.0,1,1-2 Year,No,30487.0,154.0,255,0
3336,Female,62,1,28.0,0,1-2 Year,Yes,41804.0,122.0,119,0
3371,Female,43,1,28.0,0,1-2 Year,Yes,40526.0,26.0,42,1
3396,Male,45,1,28.0,1,1-2 Year,No,64325.0,124.0,277,0
3412,Male,25,1,5.0,0,< 1 Year,Yes,22010.0,152.0,100,0
3454,Female,23,1,27.0,1,< 1 Year,No,2630.0,152.0,134,0
3543,Male,59,1,45.0,0,1-2 Year,Yes,2630.0,154.0,72,0
3557,Male,69,1,0.0,0,1-2 Year,Yes,2630.0,26.0,33,0
3577,Male,80,1,28.0,0,1-2 Year,Yes,57549.0,157.0,164,0
3587,Male,52,1,2.0,0,1-2 Year,Yes,39250.0,124.0,232,0
3700,Male,34,1,28.0,1,1-2 Year,No,30675.0,152.0,280,0
3730,Female,30,1,41.0,1,< 1 Year,No,36013.0,152.0,260,0
3750,Female,30,1,3.0,1,< 1 Year,No,27336.0,152.0,22,0
3892,Female,21,1,50.0,1,< 1 Year,No,25237.0,152.0,263,0
3993,Female,70,1,28.0,1,1-2 Year,No,46613.0,26.0,213,0
4124,Male,28,1,28.0,1,< 1 Year,No,50044.0,26.0,63,0
4274,Male,67,1,50.0,0,1-2 Year,Yes,33942.0,8.0,124,0
4282,Male,31,1,28.0,0,< 1 Year,Yes,42184.0,163.0,133,0
4477,Male,70,1,28.0,1,1-2 Year,Yes,35873.0,124.0,223,0
4588,Female,39,1,28.0,0,1-2 Year,Yes,33817.0,26.0,232,1
4678,Female,51,1,28.0,0,1-2 Year,Yes,31738.0,26.0,153,0
4794,Female,48,1,37.0,1,1-2 Year,No,2630.0,160.0,108,0
