customer_id,snapshot_date,country,recency_days,tenure_days,orders_total,items_total,distinct_products,active_months,spend_total,order_value_mean,order_value_max,days_between_orders_mean,returned_orders,returned_items,reactivated_90d
12346,2011-09-10,United Kingdom,234,234,1,74215,1,1,77183.6,77183.6,77183.6,0.0,1,74215,0
12348,2011-09-10,Finland,157,267,3,2124,22,3,1487.24,495.75,892.8,54.5,0,0,1
12350,2011-09-10,Norway,219,219,1,197,17,1,334.4,334.4,334.4,0.0,0,0,0
12352,2011-09-10,Norway,171,205,5,254,26,2,1561.81,312.36,840.3,8.5,3,66,1
12353,2011-09-10,Bahrain,113,113,1,20,4,1,89.0,89.0,89.0,0.0,0,0,0
12354,2011-09-10,Spain,141,141,1,530,58,1,1079.4,1079.4,1079.4,0.0,0,0,0
12355,2011-09-10,Bahrain,123,123,1,240,13,1,459.4,459.4,459.4,0.0,0,0,0
12356,2011-09-10,Portugal,154,234,2,1586,53,2,2753.08,1376.54,2271.62,80.0,0,0,1
12359,2011-09-10,Cyprus,98,240,3,965,135,3,3495.73,1165.24,1838.91,70.5,1,4,1
12361,2011-09-10,Belgium,196,196,1,91,10,1,189.9,189.9,189.9,0.0,0,0,0
12365,2011-09-10,Cyprus,200,200,2,174,22,1,641.38,320.69,320.69,0.0,1,1,0
12370,2011-09-10,Cyprus,183,269,3,1973,125,2,2806.41,935.47,1590.82,42.5,0,0,1
12372,2011-09-10,Denmark,121,205,2,592,32,2,914.92,457.46,515.7,83.0,0,0,1
12373,2011-09-10,Austria,220,220,1,197,14,1,364.6,364.6,364.6,0.0,0,0,0
12377,2011-09-10,Switzerland,224,263,2,944,72,2,1628.12,814.06,1001.52,39.0,0,0,0
12380,2011-09-10,Belgium,94,94,1,293,36,1,607.55,607.55,607.55,0.0,0,0,1
12383,2011-09-10,Belgium,93,261,5,1532,84,5,1850.56,370.11,651.16,41.75,1,3,0
12386,2011-09-10,Australia,246,275,2,354,10,2,401.9,200.95,258.9,29.0,0,0,0
12393,2011-09-10,Australia,154,241,3,522,33,2,1061.1,353.7,462.5,43.0,0,0,1
12394,2011-09-10,Belgium,126,126,1,182,21,1,381.08,381.08,381.08,0.0,0,0,1
12401,2011-09-10,Belgium,212,212,1,11,5,1,84.3,84.3,84.3,0.0,0,0,0
12402,2011-09-10,Belgium,232,232,1,94,11,1,225.6,225.6,225.6,0.0,0,0,0
12406,2011-09-10,Denmark,92,92,1,793,48,1,1621.25,1621.25,1621.25,0.0,1,9,1
12409,2011-09-10,Switzerland,91,91,1,3142,64,1,6207.08,6207.08,6207.08,0.0,1,1,1
12410,2011-09-10,Switzerland,217,217,2,211,26,1,693.33,346.66,625.33,0.0,1,2,0
12413,2011-09-10,France,145,246,2,205,25,2,563.9,281.95,479.25,100.0,2,4,1
12414,2011-09-10,Austria,126,219,3,300,16,3,562.41,187.47,242.8,46.5,0,0,0
12426,2011-09-10,Germany,103,103,1,258,30,1,582.73,582.73,582.73,0.0,0,0,0
12427,2011-09-10,Germany,280,280,1,79,10,1,303.5,303.5,303.5,0.0,1,9,1
12434,2011-09-10,Australia,169,169,1,77,16,1,286.25,286.25,286.25,0.0,2,21,1
12435,2011-09-10,Denmark,176,176,1,879,19,1,3978.99,3978.99,3978.99,0.0,0,0,1
12441,2011-09-10,France,275,275,1,121,11,1,173.55,173.55,173.55,0.0,0,0,0
12447,2011-09-10,Belgium,152,152,1,190,26,1,476.49,476.49,476.49,0.0,0,0,0
12451,2011-09-10,Switzerland,127,233,2,4105,162,2,5307.82,2653.91,2919.51,106.0,1,120,1
12457,2011-09-10,Switzerland,142,148,3,397,23,1,1067.25,355.75,669.25,2.5,3,111,1
12458,2011-09-10,Switzerland,193,193,1,270,19,1,441.92,441.92,441.92,0.0,0,0,1
12462,2011-09-10,Spain,212,212,1,287,40,1,762.11,762.11,762.11,0.0,1,4,1
12468,2011-09-10,Germany,96,225,2,366,36,2,729.54,364.77,508.95,128.0,1,2,0
12489,2011-09-10,France,245,245,1,105,15,1,334.93,334.93,334.93,0.0,0,0,0
12501,2011-09-10,Germany,245,245,1,1783,149,1,2169.39,2169.39,2169.39,0.0,1,61,0
12506,2011-09-10,France,141,141,1,23,23,1,73.5,73.5,73.5,0.0,0,0,0
12509,2011-09-10,France,193,193,1,55,7,1,176.5,176.5,176.5,0.0,0,0,0
12514,2011-09-10,Italy,176,176,1,440,51,1,1017.68,1017.68,1017.68,0.0,0,0,0
12515,2011-09-10,Italy,262,262,1,131,16,1,383.7,383.7,383.7,0.0,0,0,0
12527,2011-09-10,Germany,203,234,2,221,15,2,284.92,142.46,152.4,30.0,0,0,1
12539,2011-09-10,Spain,171,242,3,1621,125,2,4517.69,1505.9,1715.85,35.5,1,1,1
12545,2011-09-10,Spain,168,168,1,346,34,1,628.15,628.15,628.15,0.0,0,0,1
12547,2011-09-10,Spain,106,189,2,134,7,2,207.8,103.9,159.4,82.0,0,0,0
12551,2011-09-10,Spain,266,266,1,100,10,1,168.0,168.0,168.0,0.0,0,0,0
12559,2011-09-10,Germany,219,228,2,283,21,2,561.71,280.86,486.11,8.0,1,2,0
12561,2011-09-10,Germany,211,211,1,177,16,1,238.85,238.85,238.85,0.0,0,0,0
12564,2011-09-10,France,170,170,1,133,21,1,456.9,456.9,456.9,0.0,0,0,0
12565,2011-09-10,Saudi Arabia,197,197,1,80,9,1,145.92,145.92,145.92,0.0,1,5,0
12573,2011-09-10,France,136,136,1,84,26,1,160.54,160.54,160.54,0.0,0,0,0
12574,2011-09-10,France,224,224,1,61,11,1,218.45,218.45,218.45,0.0,0,0,0
12577,2011-09-10,France,268,268,1,134,67,1,195.89,195.89,195.89,0.0,0,0,1
12578,2011-09-10,Italy,239,239,1,748,70,1,1608.66,1608.66,1608.66,0.0,2,25,1
12580,2011-09-10,Germany,155,155,1,238,24,1,415.7,415.7,415.7,0.0,0,0,0
12582,2011-09-10,Finland,147,197,2,300,21,2,511.36,255.68,306.2,49.0,0,0,0
12585,2011-09-10,Germany,143,260,2,1279,77,2,2040.1,1020.05,1262.85,117.0,2,21,0
12590,2011-09-10,Germany,120,120,2,4283,68,1,9864.26,4932.13,9341.26,0.0,1,4,0
12591,2011-09-10,Italy,226,226,1,228,26,1,452.85,452.85,452.85,0.0,0,0,0
12596,2011-09-10,Spain,151,151,1,156,15,1,269.95,269.95,269.95,0.0,0,0,1
12597,2011-09-10,Spain,92,177,2,675,72,2,1428.81,714.4,912.66,85.0,0,0,1
12601,2011-09-10,Germany,98,241,5,245,21,5,577.06,115.41,144.26,35.5,1,1,0
12604,2011-09-10,France,170,170,1,137,10,1,178.5,178.5,178.5,0.0,0,0,1
12609,2011-09-10,Germany,95,227,2,518,42,2,800.73,400.36,512.8,132.0,0,0,1
12613,2011-09-10,Germany,106,171,4,759,65,2,1462.52,365.63,803.66,21.33,0,0,1
12614,2011-09-10,Germany,186,186,1,76,20,1,315.6,315.6,315.6,0.0,0,0,0
12620,2011-09-10,France,113,113,1,434,33,1,561.66,561.66,561.66,0.0,0,0,1
12622,2011-09-10,Germany,141,141,1,69,11,1,180.1,180.1,180.1,0.0,0,0,0
12623,2011-09-10,Germany,185,185,1,191,18,1,305.1,305.1,305.1,0.0,0,0,0
12625,2011-09-10,Germany,120,228,2,1612,73,2,2683.82,1341.91,1716.62,107.0,1,35,0
12639,2011-09-10,Sweden,147,147,1,201,22,1,486.1,486.1,486.1,0.0,0,0,0
12651,2011-09-10,France,243,243,1,78,9,1,114.0,114.0,114.0,0.0,0,0,0
12652,2011-09-10,France,240,240,1,505,48,1,919.98,919.98,919.98,0.0,1,3,0
12654,2011-09-10,Germany,106,204,3,151,19,2,337.75,112.58,166.6,48.5,0,0,1
12665,2011-09-10,Germany,233,233,1,37,3,1,63.0,63.0,63.0,0.0,1,1,0
12668,2011-09-10,Germany,168,264,3,1334,104,3,2924.47,974.82,1444.8,48.0,1,24,1
12672,2011-09-10,France,238,238,1,78,10,1,225.9,225.9,225.9,0.0,0,0,0
12673,2011-09-10,Germany,235,235,1,171,23,1,220.9,220.9,220.9,0.0,0,0,1
12679,2011-09-10,France,114,192,2,407,43,2,906.38,453.19,794.06,77.0,1,15,1
12686,2011-09-10,France,280,280,1,107,7,1,89.14,89.14,89.14,0.0,0,0,0
12690,2011-09-10,France,114,114,1,106,16,1,389.01,389.01,389.01,0.0,0,0,0
12694,2011-09-10,France,92,92,1,323,20,1,439.5,439.5,439.5,0.0,0,0,1
12701,2011-09-10,Germany,151,151,1,246,21,1,337.08,337.08,337.08,0.0,0,0,1
12707,2011-09-10,France,200,200,1,256,33,1,603.42,603.42,603.42,0.0,0,0,0
12721,2011-09-10,France,92,263,4,1133,88,4,1698.91,424.73,591.09,57.0,1,5,1
12725,2011-09-10,Italy,280,280,1,164,24,1,427.8,427.8,427.8,0.0,0,0,0
12726,2011-09-10,France,93,266,5,1942,40,5,1467.32,293.46,401.58,43.0,0,0,1
12728,2011-09-10,France,166,241,3,256,29,3,617.31,205.77,252.54,37.0,0,0,1
12733,2011-09-10,USA,143,143,1,137,22,1,383.95,383.95,383.95,0.0,0,0,0
12734,2011-09-10,France,261,261,1,88,4,1,110.4,110.4,110.4,0.0,0,0,0
12735,2011-09-10,France,224,246,2,368,38,1,779.57,389.78,459.8,21.0,0,0,0
12736,2011-09-10,France,241,241,1,173,4,1,234.0,234.0,234.0,0.0,0,0,0
