ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0
21,130000.0,2,3,2,39,0,0,0,0,0,-1,38358.0,27688.0,24489.0,20616.0,11802.0,930.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0
25,90000.0,1,1,2,23,0,0,0,-1,0,0,4744.0,7070.0,0.0,5398.0,6360.0,8292.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0
31,230000.0,2,1,2,27,-1,-1,-1,-1,-1,-1,16646.0,17265.0,13266.0,15339.0,14307.0,36923.0,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0
45,40000.0,2,1,2,30,0,0,0,2,0,0,18927.0,21295.0,25921.0,25209.0,26636.0,29197.0,3000.0,5000.0,0.0,2000.0,3000.0,0.0,0
57,180000.0,2,3,1,34,0,0,0,-1,-1,-1,16386.0,15793.0,8441.0,7142.0,-679.0,8321.0,8500.0,1500.0,7500.0,679.0,9000.0,2000.0,0
73,200000.0,2,2,1,32,-1,-1,-1,-1,2,-1,9076.0,5787.0,-684.0,5247.0,3848.0,3151.0,5818.0,15.0,9102.0,17.0,3165.0,1395.0,0
75,340000.0,1,1,2,32,-1,-1,-1,-1,-1,-1,3048.0,5550.0,23337.0,4291.0,80153.0,25820.0,5713.0,23453.0,4314.0,80552.0,25949.0,2016.0,0
77,50000.0,1,3,2,25,-1,0,0,0,0,0,42838.0,37225.0,36087.0,9636.0,9590.0,10030.0,1759.0,1779.0,320.0,500.0,1000.0,1000.0,0
89,130000.0,2,1,1,35,0,0,0,-1,-1,-1,81313.0,117866.0,17740.0,1330.0,7095.0,1190.0,40000.0,5000.0,1330.0,7095.0,1190.0,2090.0,0
92,280000.0,2,1,2,39,-1,-1,-1,0,0,-2,7524.0,0.0,3968.0,3868.0,0.0,0.0,0.0,3968.0,0.0,0.0,0.0,0.0,0
94,160000.0,2,2,1,37,-1,-1,-1,-1,-1,-2,880.0,1602.0,840.0,840.0,0.0,0.0,1602.0,840.0,840.0,0.0,0.0,7736.0,0
96,90000.0,1,2,2,35,0,0,0,0,0,0,83725.0,85996.0,87653.0,35565.0,30942.0,30835.0,3621.0,3597.0,1179.0,1112.0,1104.0,1143.0,0
99,50000.0,2,3,1,22,0,0,0,0,0,0,18722.0,18160.0,16997.0,13150.0,8866.0,7899.0,1411.0,1194.0,379.0,281.0,321.0,197.0,0
103,480000.0,1,1,1,63,0,0,0,2,2,0,422069.0,431342.0,479432.0,487066.0,471145.0,469961.0,16078.0,55693.0,17000.0,0.0,18000.0,24200.0,0
